Genome	Color	Family
MT836454	#D3D3D3	Unclassified
MT836453	#D3D3D3	Unclassified
MT836452	#D3D3D3	Unclassified
MT836451	#D3D3D3	Unclassified
MT836450	#D3D3D3	Unclassified
MT836449	#D3D3D3	Unclassified
MT836448	#D3D3D3	Unclassified
MT836447	#D3D3D3	Unclassified
MT836446	#D3D3D3	Unclassified
MT836445	#D3D3D3	Unclassified
MT836444	#D3D3D3	Unclassified
MT836443	#D3D3D3	Unclassified
MT836442	#D3D3D3	Unclassified
MT836441	#D3D3D3	Unclassified
MT836440	#D3D3D3	Unclassified
MT836439	#D3D3D3	Unclassified
MT836438	#D3D3D3	Unclassified
MT836437	#D3D3D3	Unclassified
MT836436	#D3D3D3	Unclassified
MT836435	#D3D3D3	Unclassified
MT836434	#D3D3D3	Unclassified
MT836433	#D3D3D3	Unclassified
MT836432	#D3D3D3	Unclassified
MT836431	#D3D3D3	Unclassified
MT836430	#D3D3D3	Unclassified
MT836429	#D3D3D3	Unclassified
MT836428	#D3D3D3	Unclassified
MT836427	#D3D3D3	Unclassified
MT836426	#D3D3D3	Unclassified
MT836425	#D3D3D3	Unclassified
MT836424	#D3D3D3	Unclassified
MT836423	#D3D3D3	Unclassified
MT836422	#D3D3D3	Unclassified
MT836421	#D3D3D3	Unclassified
MT836420	#D3D3D3	Unclassified
MT836419	#D3D3D3	Unclassified
MT836418	#D3D3D3	Unclassified
MT836417	#D3D3D3	Unclassified
MT836416	#D3D3D3	Unclassified
MT836415	#D3D3D3	Unclassified
MT836414	#D3D3D3	Unclassified
MT836413	#D3D3D3	Unclassified
MT836412	#D3D3D3	Unclassified
MT836411	#D3D3D3	Unclassified
MT836410	#D3D3D3	Unclassified
MT836409	#D3D3D3	Unclassified
MT836408	#D3D3D3	Unclassified
MT836407	#D3D3D3	Unclassified
MT836406	#D3D3D3	Unclassified
MT836405	#D3D3D3	Unclassified
MT836404	#D3D3D3	Unclassified
MT836403	#D3D3D3	Unclassified
MT836402	#D3D3D3	Unclassified
MT836401	#D3D3D3	Unclassified
MT836400	#D3D3D3	Unclassified
MT836399	#D3D3D3	Unclassified
